#,Control Identifier,Fii ID,Common Criteria,Common Criteria type,Name,Questions Descriptions
115,CC7-0002,FII-SCF-IRO-0001,CC7 - Common Criteria Related to Systems Operations,CC7 Key Controls,List of security incidents,"Population of security incidents during the audit period

NOTE: Please provide evidence of how the listing was created (e.g. screen shot of parameters/query/filtering/explanation)"
116,CC7-0003,FII-SCF-IRO-0001,CC7 - Common Criteria Related to Systems Operations,CC7 Key Controls,Security incident tickets (sample),Incident tickets for a sample of security incidents
117,CC7-0004,FII-SCF-IRO-0001,CC7 - Common Criteria Related to Systems Operations,CC7 Key Controls,Security impact analysis,"For critical security incidents during the audit period, evidence that an impact analysis was performed to determine the root cause, system impact, and resolution"
118,CC7-0005,FII-SCF-VPM-0005,CC7 - Common Criteria Related to Systems Operations,CC7 Key Controls,System build guides,"System build guides, procedures, and/or custom images for critical systems (e.g. servers, OS, DB)"
119,CC7-0005.1,FII-SCF-VPM-0005,CC7 - Common Criteria Related to Systems Operations,CC7 Key Controls,System patching,Evidence of most recent WSUS or Linux system patching procedures performed during review period.
120,CC7-0006,FII-SCF-BCD-0004,CC7 - Common Criteria Related to Systems Operations,CC7 Key Controls,Backup & restoration policy,Backup and restore policies and procedures with revision history
121,CC7-00087,FII-SCF-IRO-0001,CC7 - Common Criteria Related to Systems Operations,CC7 Supporting Controls,Notifications of critical security incidents,"For critical security incidents that resulted in unauthorized disclosure of personal information, evidence (e.g. emails, newsletters, incident ticket) that the affected users were notified"
122,CC8-0001,FII-SCF-CHG-0002,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,List of application changes,"Population of application changes during the audit period
NOTE: Please provide evidence of how the listing was created {e.g. screen shot of parameters/query/filtering/explanation)"
123,CC8-0002,FII-SCF-CHG-0002,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,Application change tickets,"For a sample of application changes, the documented change tickets/records showing:
- Change was authorized
- Change was tested
- Change was approved
- Who performed each function (including who implemented the change into production) 

NOTE: If all types of changes (app, infrastructure, OS, DB, etc.) are tracked and managed using the same process/controls, please let us know"
124,CC8-0003,FII-SCF-CHG-0002,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,List of infrastructure changes,"Population of infrastructure changes during the audit period

NOTE: Please provide evidence of how the listing was created {e.g. screen shot of parameters/query/filtering/explanation)"
125,CC8-0004,FII-SCF-CHG-0002,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,Infrastructure change tickets,"For a sample of infrastructure changes, the documented change tickets/records showing:
- Change was authorized
- Change was tested
- Change was approved
- Who performed each function (including who implemented the change into production) 

NOTE: If all types of changes (app, infrastructure, OS, DB, etc.) are tracked and managed using the same process/controls, please let us know"
126,CC8-0005,FII-SCF-CHG-0002,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,List of operating system changes,"Population of operating system changes during the audit period

NOTE: Please provide evidence of how the listing was created {e.g. screen shot of parameters/query/filtering/explanation)"
127,CC8-0006,FII-SCF-CHG-0002,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,Operation system change tickets,"For a sample of operating system changes, the documented change tickets/records showing:
- Change was authorized
- Change was tested
- Change was approved
- Who performed each function (including who implemented the change into production) 

NOTE: If all types of changes (app, infrastructure, OS, DB, etc.) are tracked and managed using the same process/controls, please let us know"
128,CC8-0007,FII-SCF-CHG-0002,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,List of database changes,"Population of database changes during the audit period

NOTE: Please provide evidence of how the listing was created {e.g. screen shot of parameters/query/filtering/explanation)"
129,CC8-0008,FII-SCF-CHG-0002,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,Database change tickets,"For a sample of database changes, the documented change tickets/records showing:
- Change was authorized
- Change was tested
- Change was approved
- Who performed each function (including who implemented the change into production) 

NOTE: If all types of changes (app, infrastructure, OS, DB, etc.) are tracked and managed using the same process/controls, please let us know"
130,CC8-0009,FII-SCF-CHG-0002,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,Change control software,Screenshot of the change control software being utilized to track system changes
131,CC8-0009.1,FII-SCF-CHG-0002,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,Source code software,"Evidence of system generated screenshot of configurations for the source code software (TFS, Git, SVN, etc.) utilized for the in-scope applications."
132,CC8-0010,FII-SCF-CHG-0002,CC8 - Common Criteria Related to Change Management,CC8 Key Controls,Lower environments,"Evidence (screenshots) of separate application environments: DEV, QA and PROD"
133,CC9-0001,FII-SCF-RSK-0001,CC9 - Common Criteria Related to Risk Mitigation,CC9 Key Controls,Cybersecurity insurance policy,Evidence of purchased cybersecurity insurance to offset a financial loss that could result from a security incident or vulnerability
134,C1.0-0001,FII-SCF-PRI-0004,C1.0 - Confidentiality,,Confidentiality policy,"Confidentiality policies and procedures with revision history that describe:
- defining, identifying and designating information as confidential;
- protecting confidential information from erasure or destruction;  
- storing confidential data;
- retaining confidential information for only as long as is required to achieve the purpose for which the confidential data was collected and processed
- processes in place to delete conï¬dential information in accordance with speciï¬c retention requirements"
135,C1.0-0002,FII-SCF-AST-0001.2,C1.0 - Confidentiality,,Confidential Asset register,Inventory listing noting assets that maintain confidential data.
136,C1.0-0003,FII-SCF-PRI-0004.1,C1.0 - Confidentiality,,Population of Confidential data,"Inventory listing of confidential data within assets, including their classification and retention period."
137,C1.0-0004,FII-SCF-PRI-0005,C1.0 - Confidentiality,,Confidential information maintenance policy,Confidential information maintenance policies and procedures.
138,C1.0-0005,FII-SCF-DCH-0022,C1.0 - Confidentiality,,Confidential data testing (sample),"For a sample of files/documents marked as confidential, evidence of the file / directory access permissions and the list of users with access to the confidential file/document were property limited."
139,C1.0-0006,FII-SCF-DCH-0003,C1.0 - Confidentiality,,Confidential data disposal testing (sample),"For a sample of files/documents marked as confidential that required disposal, evidence that the file/document was disposed following the procedures documented in the Confidentiality and/or Data Disposal policies."
140,C1.0-0007,FII-SCF-DCH-0022,C1.0 - Confidentiality,,Confidential data maintenance testing (sample),Evidence that confidential information maintenance procedures were followed for a sample of confidential information.
141,C1.0-0008,FII-SCF-CRY-0005,C1.0 - Confidentiality,,Confidential data encryption,"Evidence that confidential information is stored in an encrypted, secure environment."
142,A1.0-0001,FII-SCF-BCD-0012,A1.0 - Availability,,Evidence of annual backup restoration testing,Does the organization meet its availability requirements?
143,A1.0-0002,FII-SCF-MON-0001.4,A1.0 - Availability,,Evidence of hardware usage monitoring (usage alerts),Does the organization meet its availability requirements?
